dataset,algorithm,seed,step,run_result_str,run_result_val,run_result_type,filename_best,baseline_best_score,improvement_pct,step_portion
sat4j,gp,1,96,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,97,0.175,0.175,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,98,0.173,0.173,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,99,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,9,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,3,0,COMPILE_CODE_ERROR,,compile_error,0.169,0.168,-0.5952380952380957,1-20%
sat4j,gp,3,100,0.168,0.168,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,101,0.168,0.168,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,102,0.168,0.168,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,103,0.168,0.168,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,104,0.172,0.172,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,105,0.168,0.168,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,106,0.169,0.169,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,107,0.172,0.172,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,108,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,109,0.169,0.169,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,10,0.171,0.171,success,0.168,0.168,0.0,1-20%
sat4j,gp,3,110,0.17,0.17,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,111,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,112,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,113,0.17,0.17,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,114,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,115,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,116,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,117,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,118,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,119,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,41-60%
sat4j,gp,3,11,0.172,0.172,success,0.168,0.168,0.0,1-20%
sat4j,gp,3,120,0.168,0.168,success,0.168,0.168,0.0,41-60%
sat4j,gp,3,121,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,122,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,123,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,124,0.172,0.172,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,125,0.171,0.171,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,126,0.168,0.168,success,0.168,0.168,0.0,61-80%
